id,user_id,estado,edad,sexo,coordinates,fechaCaptura
bfbae82d-a63f-46d1-997b-ad6ccedb0ba3,5,Saludable,Neonatas,1,"-90.28854882987142,-0.7454114950152257",2024-07-27T17:43:31.426Z
171a2f0d-8200-4ac1-94e2-5325bafb666f,1,Muerta,Ancianas,0,"-90.28881457580226,-0.7451071616279239",2024-08-04T11:53:28.935Z
a0d47a8b-c3f6-40f0-80ad-369b16702df4,2,Robusta,Jóvenes,1,"-90.30296493987085,-0.7387102680467388",2024-07-29T02:30:58.461Z
2b05f5fc-ecaf-41fe-9969-925db1ed4bf7,5,Saludable,Jóvenes,1,"-90.30702788486725,-0.7398436541863075",2024-08-09T07:26:39.929Z
39670eb2-6e56-46e5-98b8-15edd46fbbd2,4,Saludable,Neonatas,0,"-90.29888716273877,-0.740506851397934",2024-07-25T16:04:04.611Z
3788d2c9-cff4-40ff-85d1-eeef5a2fec91,3,Esquelética,Adultas,0,"-90.29664258177353,-0.740480392416639",2024-08-01T23:34:28.581Z
2f89c577-7697-43f2-b4d5-f29182dd5744,3,Saludable,Jóvenes,0,"-90.30891127002351,-0.7421246994919085",2024-08-02T02:38:42.849Z
3fcc3315-a554-4607-8894-e45db5960093,1,Delgada,Adultas,0,"-90.3028191896678,-0.7441172128928958",2024-07-18T11:22:42.620Z
000ec8fc-b898-4256-af19-2edab4e799ce,5,Esquelética,Neonatas,0,"-90.29590533009136,-0.7389709321660393",2024-08-02T06:51:25.179Z
444026ba-45e4-41bc-b5f9-7b23f076fe9b,1,Robusta,Adultas,0,"-90.30584175123182,-0.7397449847404821",2024-07-25T03:50:57.145Z
4e3f1b12-fff1-4b3c-84c1-7abc5b712adf,1,Muerta,Adultas,1,"-90.30412747622084,-0.7391156235216093",2024-08-17T23:27:54.022Z
fe94c40d-1de2-40e6-a5d9-d9cd9056f13b,2,Robusta,Ancianas,0,"-90.29082917903504,-0.7418243696487",2024-07-25T00:14:23.786Z
e88a1946-d312-4bc5-bdfa-3f302d441b17,5,Muerta,Adultas,0,"-90.30284730723959,-0.7382093936525711",2024-07-18T12:32:09.618Z
921e45f8-6e77-4b33-b968-11805024d82f,5,Delgada,Adultas,0,"-90.30043915246424,-0.7371361594677691",2024-07-21T11:16:54.426Z
5b8fa2e6-bbb7-492f-9619-2dce9914d93b,1,Esquelética,Neonatas,1,"-90.29688746044476,-0.7428618563635584",2024-07-23T01:59:18.482Z
33e7158a-5ef4-4514-9b80-bed68ea43df4,4,Esquelética,Neonatas,1,"-90.30641019292035,-0.7403102724594225",2024-07-23T00:50:02.283Z
ff31149b-cda3-49c4-9da0-a0f8bacfe198,1,Esquelética,Jóvenes,0,"-90.30616767162793,-0.7365053906850592",2024-07-26T14:33:03.954Z
70d990c2-8871-4571-a2c1-b7958a52f5bf,3,Delgada,Adultas,0,"-90.29754821388073,-0.745214048265383",2024-08-12T00:08:55.473Z
f936e487-9fc8-4b2d-9f98-6743a80b9fe7,1,Esquelética,Ancianas,1,"-90.29308306996892,-0.74322499312983",2024-08-08T21:30:05.924Z
7c4fc931-7aa5-423d-b9af-21b640da486e,3,Esquelética,Jóvenes,0,"-90.3008219794296,-0.7442620835358074",2024-08-12T06:08:51.560Z
77d6f17c-76ec-4308-89d5-8fe5452ebb1b,1,Saludable,Ancianas,0,"-90.29653034927198,-0.7426861212413871",2024-08-10T17:37:04.772Z
b1c4897d-a594-458d-a07e-012220c467cb,1,Robusta,Jóvenes,1,"-90.30610264649657,-0.7360919123142726",2024-08-12T20:58:57.183Z
7e975e9a-dae1-4369-8dc3-e669b29c9f2a,3,Delgada,Jóvenes,1,"-90.29422880060233,-0.7454642917604631",2024-08-12T15:37:13.032Z
9df6f15d-4fab-4caf-bf23-d5e4bafb65a8,4,Saludable,Adultas,0,"-90.29948768367012,-0.7371200773573917",2024-07-26T01:29:37.139Z
0b254e33-9dc2-4a18-8c40-574178b8db80,5,Saludable,Jóvenes,1,"-90.30213826112444,-0.737672735458218",2024-08-03T20:36:34.183Z
fbdcad82-cae4-4a7f-8afe-23b446c37e55,2,Saludable,Jóvenes,0,"-90.30257674429943,-0.7404064810921598",2024-08-02T13:06:34.360Z
5c961d78-33ce-4ca7-b242-5a448c2def84,3,Delgada,Jóvenes,0,"-90.29828653701576,-0.7415896600658287",2024-07-24T16:54:36.066Z
4df1b2f4-c83f-4a63-b6c5-b2334e44758b,5,Saludable,Neonatas,1,"-90.30497546468708,-0.7390495068677085",2024-07-22T16:03:26.242Z
f38a0c6c-3e61-44fa-be40-c9843f1771c7,2,Delgada,Jóvenes,1,"-90.30515000728015,-0.7358283913422189",2024-08-10T02:23:21.577Z
