id,name,joinedDate,marketingTechnique
835fb413-90fe-428b-950b-1266508ce341,Barrows Inc,2015-03-22T00:32:15.682Z,Social Media
45a7e45e-587d-4ba2-8cd7-29393ed32db4,Langosh - Mertz,2016-11-04T07:20:44.398Z,SEO
8fe6cac7-80d5-4da9-a9a9-3e6857d509ad,"Weimann, Harvey and Tremblay",2021-01-17T11:03:27.132Z,Email Marketing
30a155c7-c39b-4e41-8e52-160fdc4c773c,"Brown, Conn and Koch",2016-05-09T16:59:08.125Z,Social Media
00972840-7456-4e92-9747-e858b44ea79e,"Donnelly, Schimmel and Zieme",2016-10-17T16:34:20.087Z,Social Media
113c4125-b032-43ff-b14d-5f3d9e1e2a18,Macejkovic LLC,2021-06-10T05:22:42.721Z,Social Media
effe35e6-c0b6-4d49-aae0-2195a2b271de,"Kihn, Zieme and O'Keefe",2016-04-27T08:22:27.467Z,Social Media
ddb5941f-25eb-4004-9af2-422420c85366,"Daniel, Predovic and Hahn",2018-03-17T03:03:04.695Z,Social Media
bcf7a5d2-56f0-4a7a-a2a0-deca78e6a98c,Kuhic - Boehm,2015-01-27T10:42:29.746Z,Email Marketing
b140ad59-8a5a-4dd7-92d9-4b853e96f40c,"Yost, Schoen and Doyle",2015-10-31T19:21:23.508Z,Email Marketing
71459b78-7679-4a6f-a679-97a808c59586,"Considine, Gibson and Macejkovic",2016-01-26T03:05:05.050Z,Social Media
f5f4253d-4ea6-46bf-972c-27f235f74ce7,Schoen - Aufderhar,2018-09-02T11:14:38.370Z,Email Marketing
78270b77-d6a9-4882-8b82-3b67cf48fcfe,"Brown, Altenwerth and Pollich",2016-02-24T17:01:29.877Z,Email Marketing
2f66c799-cbb3-4751-8ceb-d6367431ad1e,Daugherty Inc,2018-07-22T23:43:36.658Z,Email Marketing
d17ee08e-0010-4821-860d-7c46b145ad19,Brown Inc,2018-08-22T03:42:51.689Z,SEO
3cfc68f7-88a4-4e99-a7d0-0fc077fbda27,Koelpin - Jakubowski,2022-07-14T12:50:43.760Z,Social Media
849c0d4b-2ee5-4228-9581-9a220e1e6356,Walker - O'Conner,2021-08-14T03:53:46.773Z,Social Media
36513d1f-9e9a-459d-8d8e-dd37af4fd94e,Bauch and Sons,2021-08-19T22:33:29.653Z,SEO
eb74ef48-95cb-43e6-989c-4f79fbb31fb6,Hammes - Gulgowski,2016-12-19T03:12:09.123Z,Social Media
4ae74aa1-cd8d-490b-83a1-e5a6695fe94e,Kunde - Tillman,2022-11-15T11:55:58.873Z,Social Media
faf18ef6-a5e1-4de2-96f9-35cbbb39d2b7,Rutherford Group,2024-01-14T21:11:01.890Z,SEO
8fbf52c7-3fbd-41e1-a7ac-eb9d1edffda8,Runolfsson Group,2020-01-25T12:19:17.542Z,Email Marketing
a168ed6b-398b-408e-b6ae-e0a7c8ea21b7,Hyatt Inc,2016-09-06T20:34:28.839Z,SEO
25f7d1b3-8b4a-46a9-a8de-535d2ccabb82,Terry - Kautzer,2022-10-08T13:42:45.829Z,SEO
0cf888da-b11b-4b3e-9103-969a13dd421d,Friesen Group,2021-11-30T02:10:27.113Z,Social Media
d1db5f25-dd29-4956-b317-a5533ce17311,"Hand, Stroman and Pacocha",2018-12-05T07:13:00.719Z,Social Media
16d17216-3014-4eac-9ed2-478807d9da24,Grant LLC,2023-06-04T07:08:57.206Z,Social Media
dd7842a9-7712-40a7-8885-6638e913bac2,"Dare, Rohan and Bergstrom",2017-02-16T14:08:49.340Z,Social Media
